cpse,material_code,description,specification,unit,category,ground_truth_cluster
BHEL,BHEL-94100281,VLV GATE 6IN 150# CS FLGD ASTM A216 WCB,"SIZE: 6 INCH, RATING: 150 LB, BODY: WCB, END: FLANGED",NOS,VALVE,VLV-CL-001
ONGC,ONGC-M-74892,"6"" (150 MM) CARBON STEEL GATE VALVE CLASS-150 FLANGED ENDS WCB BODY","6 INCH NB, 150 LBS RF, A216 WCB OS&Y",EA,VALVE,VLV-CL-001
GAIL,GAIL-MAT-30419,"VALVE, GATE, FLANGED, 150 LBS, 6 INCH NOMINAL BORE, CS BODY","ASME B16.10, ASME B16.5 150#, BODY CS",NOS,VALVE,VLV-CL-001
NTPC,NTPC-GEN-55201,GATE VALVE 150MM NB 150 CLASS WCB CS RF FLANGED OS&Y,"150 MM NB, ASME CLASS 150, WCB BODY FLANGED",NOS,VALVE,VLV-CL-001
SAIL,SAIL-BSP-80921,"CARBON STEEL GATE VALVE 6"" ASME B16.10/B16.5 CLASS 150 FLGD","6 INCH, CS CAST STEEL, CLASS 150 FLANGED",SET,VALVE,VLV-CL-001
BHEL,BHEL-94100289,VLV GLOBE 6IN 150# CS FLGD ASTM A216 WCB,"SIZE: 6 INCH, RATING: 150 LB, BODY: WCB, END: FLANGED, TYPE: GLOBE",NOS,VALVE,VLV-NM-001
ONGC,ONGC-M-74899,"6"" (150 MM) CS GLOBE VALVE CLASS-150 FLANGED WCB","6 INCH NB, 150 LBS RF, GLOBE PATTERN, A216 WCB",EA,VALVE,VLV-NM-001
GAIL,GAIL-MAT-30425,"VALVE, GLOBE, FLANGED, 150 LBS, 6 INCH NB, CS",ASME B16.10 GLOBE VALVE 150# RF,NOS,VALVE,VLV-NM-001
BHEL,BHEL-94100305,BALL VLV 2IN 300# SS316 2PC FLGD,"SIZE 2 INCH, 300 LBS, SS316 BODY, FULL BORE",NOS,VALVE,VLV-CL-002
ONGC,ONGC-M-75012,"2"" SS BALL VALVE CL-300 FLANGED ENDS CF8M","50 MM NB, ASME CL 300, SS 316 / CF8M",EA,VALVE,VLV-CL-002
GAIL,GAIL-MAT-30520,"VALVE, BALL, 2"", CLASS 300, STAINLESS STEEL 316, FLANGED","2 INCH, 300#, SS 316, ASME B16.5",NOS,VALVE,VLV-CL-002
NTPC,NTPC-GEN-55310,BALL VALVE 50MM NB 300 CLASS CF8M STAINLESS STEEL RF,"50MM, CLASS 300, FULL BORE BALL VALVE",NOS,VALVE,VLV-CL-002
BHEL,BHEL-94100412,BF VLV 4IN PN16 CI WAFER EPDM LINED,"SIZE 4"", PN 16, BODY CAST IRON, WAFER TYPE",NOS,VALVE,VLV-CL-003
SAIL,SAIL-BSP-81204,BUTTERFLY VALVE 100MM PN16 WAFER CI DISC SS,"100 MM NB, PRESSURE PN16, CAST IRON BODY",NOS,VALVE,VLV-CL-003
NTPC,NTPC-GEN-55440,"4"" CI WAFER BUTTERFLY VALVE PN 16 WITH LEVER","4 INCH (100MM), RATING PN16, BODY CI FG260",EA,VALVE,VLV-CL-003
GAIL,GAIL-MAT-30611,"VALVE, BUTTERFLY, 4 INCH, PN16, CAST IRON, WAFER","100MM NOMINAL, PN 16 BAR, EPDM SEAT",NOS,VALVE,VLV-CL-003
BHEL,BHEL-94100520,NRV CHK VLV 1IN 800# FS SW A105,"1 INCH, CLASS 800, FORGED CARBON STEEL, SW ENDS",NOS,VALVE,VLV-CL-004
ONGC,ONGC-M-75218,"1"" FORGED STEEL LIFT CHECK VALVE 800 LBS SW A105","25 MM NB, 800#, ASTM A105 PISTON CHECK",EA,VALVE,VLV-CL-004
GAIL,GAIL-MAT-30715,"VALVE, CHECK, 1"", CLASS 800, FORGED STEEL, SOCKET WELD","BS 5352, CL 800, SW ENDS",NOS,VALVE,VLV-CL-004
SAIL,SAIL-BSP-81340,CHECK VALVE FORGED CARBON STEEL 25MM CLASS 800 SW,"25MM NB, A105, 800 LBS",NOS,VALVE,VLV-CL-004
BHEL,BHEL-94100615,PLUG VLV 3IN 150# MS FLGD PTFE SLEEVED,"3 INCH, 150#, MILD STEEL BODY, FLANGED",NOS,VALVE,VLV-CL-005
GAIL,GAIL-MAT-30810,"VALVE, PLUG, 3 INCH, 150 LBS, MILD STEEL, FLANGED RF","80MM NB, CLASS 150, MS BODY",NOS,VALVE,VLV-CL-005
NTPC,NTPC-GEN-55519,PLUG VALVE 80MM NB 150 CLASS MS RF FLANGED,"80 MM (3""), CLASS 150, PTFE SLEEVE",EA,VALVE,VLV-CL-005
ONGC,ONGC-M-75340,"3"" MS PLUG VALVE CL 150 FLANGED ENDS","3 INCH, 150 LBS, SLEEVED PLUG VALVE",NOS,VALVE,VLV-CL-005
BHEL,BHEL-94100722,SWING CHK VLV 8IN 150# CS FLGD WCB,"SIZE 8"", RATING 150 LB, WCB BODY, FLANGED",NOS,VALVE,VLV-CL-006
ONGC,ONGC-M-75460,"8"" (200 MM) CS NON RETURN VALVE CL-150 FLANGED WCB","200 MM NB, ASME 150, CAST STEEL SWING CHECK",EA,VALVE,VLV-CL-006
SAIL,SAIL-BSP-81490,"NON-RETURN VALVE 8"" CLASS 150 WCB CAST STEEL FLGD","8 INCH, CLASS 150, BS 1868 / ASME B16.34",NOS,VALVE,VLV-CL-006
NTPC,NTPC-GEN-55620,SWING CHECK VALVE 200MM NB 150 CLASS CS RF,"200MM, 150#, ASTM A216 WCB",NOS,VALVE,VLV-CL-006
BHEL,BHEL-94100801,NDL VLV 1/2IN 3000 PSI SS316 NPT F,"1/2 INCH, 3000 PSI, SS 316, FEMALE NPT",NOS,VALVE,VLV-CL-007
ONGC,ONGC-M-75510,"1/2"" NEEDLE VALVE 3000# SS316 NPT FEMALE ENDS","15 MM, 3000 PSIG, STAINLESS STEEL 316",EA,VALVE,VLV-CL-007
GAIL,GAIL-MAT-30905,"VALVE, NEEDLE, 1/2"", 3000 PSI, SS316, THREADED NPT","1/2 INCH NPT, 3000 LBS, BARSTOCK SS316",NOS,VALVE,VLV-CL-007
BHEL,BHEL-94100910,SLUICE VLV 12IN PN 1.0 CS FLGD IS 14846,"300MM NB, PN 1.0 MPA, CAST STEEL, FLANGED",NOS,VALVE,VLV-CL-008
NTPC,NTPC-GEN-55730,SLUICE VALVE 300MM NB PN 1.0 MPA CS BODY FLGD,"12 INCH (300 MM), PN 10 / 1.0 MPA, FLANGED",NOS,VALVE,VLV-CL-008
SAIL,SAIL-BSP-81610,"12"" CS SLUICE VALVE PN10 FLANGED AS PER IS 14846","300 MM, RATING PN 1.0, CS BODY",SET,VALVE,VLV-CL-008
BHEL,BHEL-94101015,SAFETY RELIEF VLV 2.5IN 10 BAR BRONZE FLGD,"65MM NB, SET PRESSURE 10 BAR, BRONZE BODY",NOS,VALVE,VLV-CL-009
ONGC,ONGC-M-75625,"2-1/2"" BRONZE SAFETY VALVE SET 10 KG/CM2 FLANGED","65 MM, 10 KG/SQ CM, BRONZE / GUNMETAL",EA,VALVE,VLV-CL-009
